"chr","start","end","cluster","sample_name","junction_count","cluster_total","psi","junction_coords","gene_name","junc_cat","strand","n_significant_data","__index_level_0__","group","genotype","rescueExpression","TDP43_kd"
"chr1",108896431,108896864,"clu_1219_+","201903_G335A_pos_siT_2",8,40,0.2,"chr1:108896431-108896864","GPSM2","novel_donor","+",7,14,"siTDP43_rescueInduced_G335A","G335A","rescueInduced","siTDP43"
"chr1",228307531,228309099,"clu_2311_+","201903_G335A_pos_siT_2",0,0,nan,"chr1:228307531-228309099","OBSCN","novel_exon_skip","+",1,128,"siTDP43_rescueInduced_G335A","G335A","rescueInduced","siTDP43"
"chr5",78489153,78564813,"clu_38213_-","201903_G335A_pos_siT_2",0,27,0,"chr5:78489153-78564813","LHFPL2","novel_exon_skip","-",1,22,"siTDP43_rescueInduced_G335A","G335A","rescueInduced","siTDP43"
"chr6",158017290,158019984,"clu_39927_+","201903_G335A_pos_siT_2",2,8,0.25,"chr6:158017290-158019984","SYNJ2","novel_acceptor","+",4,1,"siTDP43_rescueInduced_G335A","G335A","rescueInduced","siTDP43"
"chr7",45735670,45736787,"clu_41577_-","201903_G335A_pos_siT_2",9,46,0.1956521739130435,"chr7:45735670-45736787","SEPTIN7P2","novel_acceptor","-",6,91,"siTDP43_rescueInduced_G335A","G335A","rescueInduced","siTDP43"
"chr7",100050836,100056911,"clu_43077_+","201903_G335A_pos_siT_2",0,13,0,"chr7:100050836-100056911","ZSCAN21","novel_donor","+",1,70,"siTDP43_rescueInduced_G335A","G335A","rescueInduced","siTDP43"
"chr12",111710437,111712498,"clu_10463_+","201903_G335A_pos_siT_2",4,85,0.047058823529411764,"chr12:111710437-111712498","ACAD10","novel_donor","+",1,100,"siTDP43_rescueInduced_G335A","G335A","rescueInduced","siTDP43"
"chr12",131992230,132005077,"clu_10682_+","201903_G335A_pos_siT_2",8,143,0.055944055944055944,"chr12:131992230-132005077","EP400","novel_exon_skip","+",10,30,"siTDP43_rescueInduced_G335A","G335A","rescueInduced","siTDP43"
"chr14",75959345,75960814,"clu_14299_-","201903_G335A_pos_siT_2",0,3,0,"chr14:75959345-75960814","TGFB3","novel_donor","-",2,102,"siTDP43_rescueInduced_G335A","G335A","rescueInduced","siTDP43"
"chr15",43134014,43135512,"clu_14774_+","201903_G335A_pos_siT_2",0,34,0,"chr15:43134014-43135512","TMEM62","novel_donor","+",1,58,"siTDP43_rescueInduced_G335A","G335A","rescueInduced","siTDP43"
"chr16",14919428,14920272,"clu_16724_+","201903_G335A_pos_siT_2",0,108,0,"chr16:14919428-14920272","PKD1P3","novel_exon_skip","+",1,130,"siTDP43_rescueInduced_G335A","G335A","rescueInduced","siTDP43"
"chr22",17702386,17722274,"clu_31508_+","201903_G335A_pos_siT_2",0,263,0,"chr22:17702386-17722274","BCL2L13","novel_acceptor","+",6,4,"siTDP43_rescueInduced_G335A","G335A","rescueInduced","siTDP43"
"chr3",9468615,9470459,"clu_32158_+","201903_G335A_pos_siT_2",3,158,0.0189873417721519,"chr3:9468615-9470459","SETD5","novel_donor","+",7,8,"siTDP43_rescueInduced_G335A","G335A","rescueInduced","siTDP43"
"chr3",184243630,184244601,"clu_34632_-","201903_G335A_pos_siT_2",4,165,0.024242424242424242,"chr3:184243630-184244601","ALG3","novel_exon_skip","-",1,135,"siTDP43_rescueInduced_G335A","G335A","rescueInduced","siTDP43"
"chr4",932540,951207,"clu_34827_+","201903_G335A_pos_siT_2",0,91,0,"chr4:932540-951207","TMEM175","novel_exon_skip","+",5,3,"siTDP43_rescueInduced_G335A","G335A","rescueInduced","siTDP43"
"chr4",86672543,86674457,"clu_35267_+","201903_G335A_pos_siT_2",2,223,0.008968609865470852,"chr4:86672543-86674457","PTPN13","novel_acceptor","+",3,147,"siTDP43_rescueInduced_G335A","G335A","rescueInduced","siTDP43"
"chr5",69261458,69262205,"clu_36887_+","201903_G335A_pos_siT_2",0,226,0,"chr5:69261458-69262205","CDK7","novel_donor","+",5,5,"siTDP43_rescueInduced_G335A","G335A","rescueInduced","siTDP43"
"chr19",4491835,4492015,"clu_24310_+","201903_G335A_pos_siT_2",0,136,0,"chr19:4491835-4492015","HDGFL2","novel_acceptor","+",7,16,"siTDP43_rescueInduced_G335A","G335A","rescueInduced","siTDP43"
